Team,Values,When,Season
Tottenham Hotspur,€837.50m,summer,2019
Leicester City,€344.50m,summer,2019
Arsenal FC,€574.00m,summer,2019
Everton FC,€426.00m,summer,2019
Aston Villa,€109.75m,summer,2019
West Ham United,€287.50m,summer,2019
Wolverhampton Wanderers,€218.00m,summer,2019
Newcastle United,€174.00m,summer,2019
Leeds United,€64.10m,summer,2019
Southampton FC,€266.10m,summer,2019
Crystal Palace,€219.25m,summer,2019
Brighton & Hove Albion,€177.00m,summer,2019
Brentford FC,€51.10m,summer,2019
Norwich City,€45.78m,summer,2019
Burnley FC,€181.75m,summer,2019
